book_id,goodreads_book_id,title,authors,average_rating,ratings_count,to_read_count,tag_list
1,2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,4780653,973,"favorites, own-it, dystopian-fiction, coming-of-age, read-in-2013"
2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,4602479,400,"owned, to-read, ya-fiction, scifi-fantasy, kids-books"
3,41865,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,3866839,287,"young-adult, never-again, english, completed-series, movie"
4,2657,To Kill a Mockingbird,Harper Lee,4.25,3198671,1478,"classics, books, must-read, to-reread, school-reading"
5,4671,The Great Gatsby,F. Scott Fitzgerald,3.89,2683664,1293,"classics, the-classics, f-scott-fitzgerald, usa, required-reading"
6,11870085,The Fault in Our Stars,John Green,4.26,2346404,1484,"favorites, teen-fiction, reread, on-my-shelf, novel"
7,5907,The Hobbit,J.R.R. Tolkien,4.25,2071616,973,"fantasy, 1001, childhood-favorites, read-in-2014, british-literature"
8,5107,The Catcher in the Rye,J.D. Salinger,3.79,2044241,1498,"classics, school-reads, read-in-2015, historical-fiction, wish-list"
9,960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,2001311,513,"to-read, thriller-suspense, paperback, ebooks, religious"
10,1885,Pride and Prejudice,Jane Austen,4.24,2035490,1110,"classics, faves, for-school, read-in-2015, abandoned"
11,77203,The Kite Runner,Khaled Hosseini,4.26,1813044,1767,"favorites, book-group, books, recommended, faves"
12,13335037,"Divergent (Divergent, #1)",Veronica Roth,4.24,1903563,1082,"favorites, distopia, finished, 2013-reads, dystopias"
13,5470,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,1956832,1812,"fiction, distopia, audio, literary, classic-lit"
14,7613,Animal Farm,George Orwell,3.87,1881700,1127,"classics, classic-lit, school-reading, sci-fi-fantasy, favorite"
15,48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,1972666,852,"non-fiction, biographies-memoirs, autobiography-memoir, kindle, 5-stars"
16,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,1808403,1425,"to-read, favorite-books, action, dark, book-club-books"
17,6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,1831039,591,"young-adult, distopia, e-book, to-buy, trilogy"
18,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,1832823,428,"favorites, ya-fiction, childhood-favorites, favorite-series, read-in-2017"
